,Provider ID,HAI_1_SIR,HAI_2_SIR,HAI_3_SIR,HAI_4_SIR,HAI_5_SIR,HAI_6_SIR,COMP_HIP_KNEE,PSI
222,40132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,40134,0.5870000000000001,1.629,0.0,0.0,0.0,0.5920000000000001,0.0,150.52999999999997
224,40137,0.0,0.569,0.0,0.0,0.0,0.0,0.0,10.5
225,40147,0.0,0.0,0.0,0.0,0.0,0.0,1.9,15.41
226,40152,0.0,0.0,0.0,0.0,0.0,0.0,3.2,9.379999999999999
227,40153,0.0,0.0,0.0,0.0,0.0,0.505,0.0,3.24
228,41300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,41302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,41303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,41304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,41305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,41306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,41307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,41308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,41309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,41310,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
238,41311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,41312,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
240,41313,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
241,41314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,41316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,41317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,41318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,41319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,41320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,41321,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0
248,41322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,41323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,41324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,41326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,41327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,41328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,41329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,41330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,41331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,43300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,50002,0.7390000000000001,1.04,0.855,0.0,0.728,1.564,3.8,163.04
259,50006,0.423,1.465,2.718,0.0,3.2560000000000002,1.4340000000000002,3.1,156.96
260,50007,0.11900000000000001,0.525,0.0,0.0,2.444,1.206,3.6,129.75
261,50008,0.478,1.34,0.0,0.0,0.0,1.28,0.0,167.45
262,50009,0.48100000000000004,0.725,0.517,0.0,0.0,1.77,2.9,143.66000000000003
263,50013,0.774,0.741,0.0,0.0,0.0,1.382,2.4,130.5
264,50014,1.093,0.441,0.0,0.0,0.0,0.638,3.0,170.85
265,50017,0.0,0.263,1.063,0.0,0.757,1.143,4.2,155.83000000000004
266,50018,1.636,0.282,0.0,0.94,2.405,0.7709999999999999,0.0,7.269999999999999
267,50022,0.342,0.679,2.887,2.549,1.7069999999999999,1.5859999999999999,3.0,154.05
268,50024,0.0,0.0,0.0,0.0,1.4469999999999998,0.39,0.0,6.709999999999999
269,50025,0.903,0.49700000000000005,1.953,1.594,1.177,1.3869999999999998,2.8,127.49
270,50026,0.5820000000000001,0.7929999999999999,0.629,0.0,1.1440000000000001,1.479,2.2,171.14999999999998
271,50028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.01
272,50030,0.0,0.375,0.0,0.0,1.229,0.368,4.5,135.17999999999998
273,50036,0.37,0.429,0.0,0.0,0.5479999999999999,1.129,3.6,160.85999999999999
274,50038,0.75,1.1340000000000001,2.416,1.3019999999999998,0.619,0.976,0.0,146.17000000000002
275,50039,0.37,0.649,0.0,0.0,0.821,0.784,4.0,149.02
276,50040,0.268,1.4409999999999998,0.652,1.3530000000000002,2.541,0.654,0.0,10.18
